symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
GOOGL,1.1144959276404691,0.22558352315759922,-0.002684337629505372,1.0,100.0
JNJ,0.8256206407152483,0.041582288681756424,0.12354183946129325,2.0,98.0
CAT,0.8191711842081802,0.18288418390629801,-0.019049947064661957,3.0,96.0
MRK,0.8054675012011338,0.14516987905014386,0.01592362119008289,4.0,94.0
TMO,0.6250148120879746,0.13884646510331158,-0.013843502685716647,5.0,92.0
BAC,0.5658145497590331,0.07464259394886583,0.03852031600294082,6.0,90.0
MS,0.5465652250002808,0.11099328041726936,-0.001680235417213184,7.0,88.0
C,0.5018384249479243,0.1105868333023886,-0.01021914831280372,8.0,86.0
GS,0.49364359437757455,0.10819511101212216,-0.009466392136607245,9.0,84.0
LMT,0.4251144866949842,0.042436432965008826,0.042586464373988026,10.0,82.0
WFC,0.4027965266082864,0.06409529947471292,0.01646400584694437,11.0,80.0
AXP,0.3999142193045907,0.09198833830616836,-0.012005494445250224,12.0,78.0
UPS,0.37873668165829877,0.06916003276653322,0.006587303565126532,13.0,76.0
BMY,0.3703875149995127,0.05806109213648869,0.01601641086341386,14.0,74.0
XOM,0.3643536666955999,0.006921603799423648,0.06594912953969632,15.0,72.0
JPM,0.3090884756147104,0.008165922617833395,0.05365177250510869,16.0,70.0
LLY,0.2511752820105026,0.16544823914795304,-0.11521318274585252,17.0,68.0
ABBV,0.24436769957488005,0.0022049780756948356,0.04666856183928118,18.0,66.0
KO,0.22719785177238444,-0.08965270329075688,0.13509227364523377,19.0,64.0
MCD,0.2171037609311841,-0.08660372769720646,0.1300244798834433,20.0,62.0
AMGN,0.2033809621661326,0.01877126728894873,0.021904925144277797,21.0,60.0
AAPL,0.18612913129928646,0.050798057491883375,-0.013572231232026083,22.0,57.99999999999999
WMT,0.17236702029954518,-0.019746184832344624,0.05421958889225366,23.0,56.00000000000001
GE,0.15071219892959362,0.0351131726708937,-0.004970732884974977,24.0,54.0
UNP,0.13684180261203027,-0.05583322639210886,0.08320158691451492,25.0,52.0
V,0.1300516947158955,-0.05141500896559658,0.07742534790877569,26.0,50.0
PFE,0.04423461518530687,-0.03693478411332312,0.045781707150384494,27.0,48.0
MA,0.04027528657795022,-0.07188710662308766,0.0799421639386777,28.0,46.0
PEP,0.024409543203618086,-0.08040570425578537,0.08528761289650899,29.0,44.0
CVX,0.014268133647832894,-0.05651425275624083,0.05936787948580741,30.0,42.0
PG,-0.017675499166978498,-0.12943067699575278,0.12589557716235708,31.0,40.0
ABT,-0.09332423851977238,-0.09549388425932048,0.076829036555366,32.0,38.0
MMM,-0.09598131329072235,-0.019273121971454407,7.68593133099357e-05,33.0,36.0
HON,-0.14978441973245238,-0.08235039164504758,0.0523935076985571,34.0,34.0
COST,-0.18575619983430006,-0.13083406078663715,0.09368282081977714,35.0,32.0
UNH,-0.24317616294200553,0.16982754338716055,-0.21846277597556166,36.0,30.0
BLK,-0.26632527995720306,-0.0828176159503714,0.02955255995893079,37.0,28.000000000000004
HD,-0.2862927705812576,-0.13386738303684143,0.0766088289205899,38.0,26.0
AMZN,-0.3948183982425768,-0.03556695864247838,-0.043396721006036976,39.0,24.0
MSFT,-0.40077414580757287,-0.13344026548570417,0.0532854363241896,40.0,22.0
CRM,-0.41897272862645757,-0.05010952469656171,-0.03368502102872981,41.0,20.0
SBUX,-0.5389504268639354,-0.07293997886012249,-0.03485010651266459,42.0,18.0
ADBE,-0.5927366765308963,-0.10021048199197205,-0.018336853314207216,43.0,16.0
TGT,-0.5947534776050365,-0.07654508965615917,-0.042405605864848143,44.0,14.000000000000002
BA,-0.7293550265774407,-0.07172112003064775,-0.0741498852848404,45.0,12.0
NVDA,-1.0062866287947139,-0.05876439532872333,-0.14249293043021946,46.0,10.0
TSLA,-1.0764962040063053,0.12058287737950957,-0.33588211818077063,47.0,8.0
AMD,-1.2137652602331697,0.0978126884469258,-0.34056574049355975,48.0,6.0
META,-1.2865575926630515,-0.1615386504729719,-0.09577286805963842,49.0,4.0
NKE,-1.398755964464089,-0.155975405797677,-0.1237757870951408,50.0,2.0
