symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
GOOGL,1.2830023927922825,0.27102933211210756,-0.014428853553651033,1.0,100.0
JNJ,0.989730801049804,0.0741176733521205,0.12382848685784031,2.0,98.0
MRK,0.6779970162789797,0.1346821145471951,0.0009172887086008612,3.0,96.0
AAPL,0.5894526708785622,0.13101084835852608,-0.013120314182813614,4.0,94.0
CAT,0.5509400418940738,0.1273300724829078,-0.017142064104093056,5.0,92.0
BAC,0.4468522174444714,0.05181297687711223,0.03755746661178205,6.0,90.0
MS,0.4466790286059305,0.09282344611679418,-0.003487640395608068,7.0,88.0
C,0.4064302482718174,0.09440193073066792,-0.01311588107630444,8.0,86.0
BMY,0.39359027194517104,0.0633581084956574,0.015359945893376817,9.0,84.0
ABBV,0.3815885923891015,0.027985054375877966,0.04833266410194234,10.0,82.0
KO,0.36203497220208464,-0.063560030766215,0.13596702520663193,11.0,80.0
LLY,0.344513239543595,0.1733584036439376,-0.10445575573521859,12.0,78.0
LMT,0.3239991947823865,0.02006418467460089,0.044735654281876404,13.0,76.0
AXP,0.3177503048754228,0.07818152889752455,-0.014631467922440002,14.0,74.0
WFC,0.31368078473521566,0.048165608973972186,0.014570547973070953,15.0,72.0
GS,0.3103664582289292,0.07277387103640776,-0.010700579390621915,16.0,70.0
UPS,0.3101454183697953,0.05135478428454226,0.010674299389416813,17.0,68.0
MCD,0.30718340040205155,-0.06932213880792837,0.13075881888833868,18.0,66.0
XOM,0.29589659704219545,-0.009808970617981094,0.0689882900264202,19.0,64.0
WMT,0.2945055783449955,0.0016704712777442484,0.05723064439125485,20.0,62.0
TMO,0.28715803920414346,0.07393478285092281,-0.01650317501009411,21.0,60.0
UNP,0.22960082218162745,-0.04083369911115722,0.08675386354748271,22.0,57.99999999999999
JPM,0.2212386432939085,-0.008921486762931674,0.05316921542171338,23.0,56.00000000000001
PEP,0.1742286198174925,-0.050946943976627815,0.08579266794012631,24.0,54.0
V,0.103486677450082,-0.059171963464276,0.0798692989542924,25.0,52.0
PG,0.09357702131562583,-0.10808209758465791,0.12679750184778307,26.0,50.0
AMGN,0.08307964618576441,-0.00865403200965814,0.02526996124681102,27.0,48.0
PFE,0.07412149076321019,-0.03370765588077869,0.04853195403342073,28.0,46.0
MA,0.05819593315478343,-0.06925395189561795,0.08089313852657463,29.0,44.0
GE,0.0005544004209355382,0.007860100200483328,-0.00774922011629622,30.0,42.0
CVX,-0.025836164549439405,-0.06416017116734372,0.05899293825745584,31.0,40.0
MMM,-0.032833205176509596,-0.009154743863829305,0.0025881028285273857,32.0,38.0
ABT,-0.07275954849089487,-0.08915318503787219,0.07460127533969321,33.0,36.0
COST,-0.2296271989200494,-0.13969186635739164,0.09376642657338176,34.0,34.0
HD,-0.23807622501414652,-0.12398728578067962,0.07637204077785031,35.0,32.0
HON,-0.2697330788069137,-0.10592278241847247,0.05197616665708972,36.0,30.0
UNH,-0.2797639799386371,0.16819047909994575,-0.22414327508767318,37.0,28.000000000000004
BLK,-0.2839357936575282,-0.08847433239835253,0.031687173666846896,38.0,26.0
MSFT,-0.36733624791859043,-0.1277521107589395,0.054284861175221404,39.0,24.0
CRM,-0.37403763020536634,-0.04518170174858985,-0.029625824292483418,40.0,22.0
AMZN,-0.41229164621324466,-0.03608484494216803,-0.04637348430048091,41.0,20.0
ADBE,-0.4455578903311219,-0.07829397213461811,-0.010817605931606274,42.0,18.0
TSLA,-0.600980878002388,0.21717040007766172,-0.3373665756781393,43.0,16.0
TGT,-0.6115707256300836,-0.08040912236024567,-0.04190502276577106,44.0,14.000000000000002
SBUX,-0.6425023232663303,-0.09268007099182923,-0.035820393661436835,45.0,12.0
BA,-0.8725458761981142,-0.09543885398265843,-0.07907032125696441,46.0,10.0
NVDA,-0.9186265571933677,-0.03678956410242055,-0.146935747336253,47.0,8.0
META,-1.2642225517687615,-0.1552028744839384,-0.0976416358698139,48.0,6.0
AMD,-1.3001780367765026,0.07013043261237681,-0.33016603996767735,49.0,4.0
NKE,-1.4291649658064416,-0.1607661516719071,-0.12506684148938124,50.0,2.0
