symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
JNJ,1.2055548376159992,0.12243913137538043,0.11867183614781943,1.0,100.0
GOOGL,1.1634910693331342,0.2509214121176196,-0.018223198250992716,2.0,98.0
TMO,0.8127472605759307,0.18391820140850218,-0.02136874929331603,3.0,96.0
CAT,0.7662888426026556,0.17259027842889402,-0.01933250990836287,4.0,94.0
WMT,0.6235967668952133,0.06829034147528817,0.05642901190375448,5.0,92.0
MCD,0.5920143859125315,-0.012591991150760512,0.13099486833326682,6.0,90.0
ABBV,0.5674501849314099,0.07349279072470183,0.03999724626158016,7.0,88.0
MRK,0.5413087205839358,0.10705684465092911,0.0012048994658580368,8.0,86.0
MS,0.4893287119580701,0.09856860384846453,-0.0007028614568505007,9.0,84.0
AAPL,0.4844990768837024,0.11252106130738238,-0.015621245930641887,10.0,82.0
GS,0.4126966497457113,0.0905467970775556,-0.008007467128413338,11.0,80.0
KO,0.39393370660349625,-0.05614919773934236,0.13493593906004162,12.0,78.0
AXP,0.3786317997382563,0.08698164274057135,-0.01125528279292009,13.0,76.0
BAC,0.36184051130258915,0.03376240908946619,0.03860569317105164,14.0,74.0
PEP,0.3309654229801068,-0.019284920921765168,0.08547800551778653,15.0,72.0
XOM,0.3296961445134614,-0.002086809745216882,0.06802603864790917,16.0,70.0
LLY,0.32873447321909255,0.17109248676776684,-0.10534559212394833,17.0,68.0
C,0.30510505803172355,0.07084223189993842,-0.009821220293593705,18.0,66.0
WFC,0.27644638703187085,0.03696733108328314,0.018321946323091032,19.0,64.0
UNP,0.27394107803067047,-0.0316935548800578,0.0864817704861919,20.0,62.0
BMY,0.2357192821200674,0.03466963526052496,0.01247422116348852,21.0,60.0
JPM,0.21506435293151,-0.014185228056466551,0.05719809864276855,22.0,57.99999999999999
ABT,0.18706576116082568,-0.05647656393481332,0.09388971616697846,23.0,56.00000000000001
AMGN,0.16753672146077653,0.006000124878745431,0.027507219413409875,24.0,54.0
PG,0.1415365022800992,-0.09745855646554427,0.1257658569215641,25.0,52.0
MA,0.12185473316647141,-0.0578332988123636,0.08220424544565788,26.0,50.0
PFE,0.10546469256642291,-0.026791935154568094,0.04788487366785268,27.0,48.0
HD,0.0011842285950417614,-0.07671074282003856,0.07694758853904692,28.0,46.0
V,0.000635650339800356,-0.081172695310921,0.08129982537888107,29.0,44.0
GE,-0.0030224121192139056,0.002197803515119041,-0.002802285938961822,30.0,42.0
CVX,-0.0032670488273343207,-0.057521376494870685,0.05686796672940382,31.0,40.0
LMT,-0.04461744536508945,-0.04119187842767083,0.03226838935465294,32.0,38.0
MMM,-0.05915438551437618,-0.025345949095247695,0.013515071992372459,33.0,36.0
COST,-0.17990755041425582,-0.12821129187296323,0.09222978179011207,34.0,34.0
MSFT,-0.2286314173798389,-0.11268847771982,0.06696219424385222,35.0,32.0
BLK,-0.2631264267103889,-0.08204488298594431,0.029419597643866535,36.0,30.0
UPS,-0.2855229627676269,-0.033484060762684696,-0.023620531790840688,37.0,28.000000000000004
HON,-0.36020684196787167,-0.12898201280141328,0.05694064440783894,38.0,26.0
ADBE,-0.5125328213425204,-0.09452818254639653,-0.007978381722107561,39.0,24.0
CRM,-0.5458122023793771,-0.08061037308730451,-0.028552067388570912,40.0,22.0
TGT,-0.5817739645889046,-0.07646319358491374,-0.03989159933286719,41.0,20.0
UNH,-0.6399925076128127,0.052987787378550935,-0.18098628890111346,42.0,18.0
TSLA,-0.6676355889072929,0.20407888357181558,-0.3376060013532742,43.0,16.0
AMZN,-0.6913282262362911,-0.09427280241675123,-0.043992842830507,44.0,14.000000000000002
SBUX,-0.7989082384854349,-0.11555141508205996,-0.04423023261502703,45.0,12.0
META,-1.0332425687114122,-0.1286061785489074,-0.07804233519337501,46.0,10.0
BA,-1.0913246284862947,-0.13681671326165998,-0.08144821243559901,47.0,8.0
AMD,-1.1484982841494098,0.09933795048595634,-0.3290376073158383,48.0,6.0
NKE,-1.3248212695718469,-0.13747423545558718,-0.12749001845878224,49.0,4.0
NVDA,-1.3510062215729872,-0.07303522995040305,-0.1971660143641944,50.0,2.0
